time,decodedframes,lossframe,losspacket
1706781967005700,27,0,17
1706781967005700,27,0,17
1706781967005700,27,0,17
1706780972508600,25,15,16
1706779969642800,23,0,18
1706778955200100,26,0,18
1706777950540000,31,0,19
1706776953445500,31,0,20
1706775947255600,34,0,17
1706774942577100,47,0,17
1706773934464400,48,2,17
1706772943366500,54,0,15
1706771933820200,59,0,16
1706770940018100,58,0,16
1706769947999600,62,0,17
1706768943735800,59,2,18
1706767927080000,55,0,19
1706766926953700,54,0,18
1706765930016900,59,0,16
1706764931041700,56,0,14
1706763929066600,56,0,25
1706762930208700,57,0,21
1706761929029500,57,0,19
1706760931196200,59,0,21
1706759928360800,52,0,14
1706758935351300,57,0,16
1706757931391700,32,0,19
1706756933785200,51,0,16
1706755928887300,54,0,16
1706754930183000,43,0,18
1706753934563400,56,0,18
1706752937074100,58,0,18
1706751935378000,56,0,24
1706750931027400,50,0,22
1706749928716600,48,0,21
1706748942679900,45,0,22
1706747946202100,60,0,22
1706746930245300,58,0,20
1706745952123900,52,0,18
1706744934144200,45,0,16
1706743930122900,54,0,19
1706742930203900,48,0,18
1706741931018200,50,0,17
1706740930512700,46,0,21
1706739932909800,51,0,23
1706738935321000,48,0,18
1706737933148200,46,0,17
1706736930696800,54,0,17
1706735930535100,55,2,20
1706734928503400,45,4,21
1706733918952200,55,0,24
1706732911028300,42,0,21
1706731915200800,47,0,17
1706730912592000,51,0,20
1706729928872000,41,2,17
1706728895136100,43,0,14
1706727880776500,52,0,14
1706726887147600,47,2,16
1706725886036000,43,0,18
1706724885195600,45,0,17
1706723892495700,44,0,21
1706722883041700,41,0,20
1706721884292700,44,0,20
1706720891834000,38,0,18
1706719885666400,47,2,20
1706718884322800,42,0,18
1706717884792600,27,0,19
1706716879705000,28,0,17
1706715883040200,30,0,25
1706714883195200,26,4,23
1706713890157500,35,2,21
1706712884107800,46,2,27
1706711886917400,43,0,25
1706710894210900,46,0,23
1706709880967500,49,0,25
1706708880752800,44,0,21
1706707881902900,47,0,22
1706706883411400,53,0,28
1706705882645600,46,0,22
1706704879435800,48,0,22
1706703897038000,48,2,22
1706702895772100,47,0,24
1706701884018600,47,0,20
1706700881553300,50,2,22
1706699882729300,47,0,20
1706698881912700,46,2,23
1706697882294100,30,0,25
1706696880337200,46,0,24
1706695895187700,49,0,22
1706694862681400,45,0,22
1706693879856100,39,2,23
1706692868209000,39,0,20
1706691875496900,51,0,21
1706690893587300,52,0,20
1706689876204900,39,2,23
1706688871287300,46,0,25
1706687890449500,43,0,19
1706686877253500,39,0,23
1706685885140300,44,0,22
1706684871545000,24,4,20
1706683847374500,27,0,28
1706682849308500,27,0,25
1706681847918800,34,0,23
1706680850697300,37,0,25
1706679850508000,47,0,25
1706678850985300,48,0,22
1706677863504200,52,0,25
1706676851693800,43,2,24
1706675849415100,37,0,23
1706674862674600,35,0,25
1706673857868500,47,0,21
1706672858665000,26,0,23
1706671857347100,25,0,27
1706670852056700,27,4,28
1706669859475800,29,0,30
1706668850474100,24,4,27
1706667851063000,25,0,31
1706666851214600,25,4,32
1706665852440500,30,0,32
1706664853742700,32,2,34
1706663847793200,34,0,26
1706662868475800,38,0,29
1706661862196100,35,0,30
1706660852190600,45,0,25
1706659852980600,51,0,29
1706658850574700,33,2,31
1706657851350000,39,0,25
1706656849318800,46,0,27
1706655854497500,25,2,31
1706654867835600,27,2,25
1706653849528200,29,0,27
1706652856093700,29,0,32
1706651851242200,26,0,30
1706650850282300,28,0,33
1706649848611000,30,0,27
1706648855707000,28,0,30
1706647854486700,27,0,36
1706646848993700,27,0,34
1706645849721800,29,0,34
1706644857143400,31,2,34
1706643850189300,21,0,33
1706642859912500,24,7,31
1706641862772000,40,0,24
1706640853793300,44,0,34
1706639850405500,30,0,38
1706638853002900,35,0,22
1706637852655600,41,4,11
1706636876466700,59,2,1
1706635848676100,59,0,1
1706634856733600,61,0,1
1706633853600300,60,0,1
1706632857903600,58,0,2
1706631868127900,58,2,2
1706630853447800,59,0,1
1706629862574600,58,0,4
1706628852457200,50,0,16
1706627851816200,60,2,6
1706626852671600,60,0,1
1706625853601100,60,0,0
1706624865465500,59,0,0
1706623853805400,59,0,0
1706622850696000,59,0,0
1706621855886700,62,0,1
1706620852899700,59,2,0
1706619851766000,60,0,1
1706618848639000,59,0,1
1706617865204800,61,0,0
1706616851491800,61,0,0
1706615850031800,44,26,0
1706614852496100,43,25,0
1706613853545800,45,25,6
1706612864696400,46,25,1
1706611848021000,45,26,0
1706610862234500,46,25,1
1706609847672700,43,25,1
1706608869499800,46,25,3
1706607853799200,45,25,6
1706606849788000,47,24,16
1706605853728000,40,27,16
1706604853019800,39,25,19
1706603849801600,43,23,14
1706602856549400,45,28,1
1706601856149100,45,25,1
1706600854323900,45,26,0
1706599857832700,45,25,1
1706598854394300,45,25,1
1706597847527900,45,25,3
1706596854701200,45,29,3
1706595859943600,45,24,5
1706594853512000,43,27,5
1706593849731300,45,26,8
1706592856076200,45,25,9
1706591849396400,44,27,7
1706590863939000,45,25,6
1706589859989400,46,25,8
1706588855033800,42,25,7
1706587852207600,43,26,8
1706586852679700,43,25,5
1706585852090900,46,25,7
1706584884347500,34,25,6
1706583850151700,38,24,6
1706582852237400,42,27,7
1706581863400200,44,24,6
1706580941477800,46,27,4
1706579855302700,45,25,6
1706578869495800,20,25,6
1706577903337000,21,27,3
1706576870632200,26,28,6
1706575860656600,44,25,5
1706574853247600,44,25,6
1706573849400000,46,25,6
1706572849568800,45,25,6
1706571871796500,40,28,5
1706570877664800,46,25,6
1706569858294300,45,24,5
1706568877568100,45,27,5
1706567852935500,43,26,5
1706566887358400,46,25,3
1706565860135900,45,26,5
1706564857142900,45,25,5
1706563849982100,45,25,2
1706562849921300,44,27,8
1706561860932000,45,25,5
1706560851296700,44,26,6
1706559870811300,47,25,4
1706558850574500,43,25,6
1706557847791800,45,26,5
1706556853446000,45,25,5
1706555860280700,45,25,6
1706554854342300,45,25,4
1706553859578600,45,25,3
1706552854256300,45,25,5
1706551853230900,45,25,6
1706550856163600,45,25,7
1706549847740000,44,25,6
1706548852647300,46,25,6
1706547850518700,45,25,4
1706546851793400,44,25,6
1706545871826900,45,26,5
1706544851992600,45,25,3
1706543851606200,45,25,5
1706542853705400,45,25,3
1706541860928700,45,24,5
1706540851664500,45,27,6
1706539850188200,45,26,4
1706538854143700,45,25,5
1706537852345300,45,26,5
1706536848748600,44,25,4
1706535854284600,45,25,3
1706534856729900,45,25,8
1706533852278300,46,25,4
1706532853067600,45,25,4
